Title,Company,Location,Salary,Skills,Experience level
Senior Software Engineer,project44,"Remote, Kraków, Amsterdam i 3 więcej",,  Java   AWS   GCP  ,Senior
Senior Node.js Developer,Packhelp S.A.,Warszawa,18 000 - 23 000 PLN,  Node.js ,Senior
Python Senior Developer,Sofomo,"Remote, Wrocław",12 000 - 20 000 PLN,  Django ,Senior
Senior iOS Engineer,ViacomCBS,Warszawa,,  Entertainment | Online media ,Senior
IT Project Manager,Clurgo,Warszawa,16 000 - 19 200 PLN,  Scrum  ,Senior
Senior Front-end Developer (React),Future Processing,"Remote, Gliwice",10 400 - 19 400 PLN,  Możliwość wyboru projektu ,Senior
Team Lead Software Engineer,Sii Polska,"Remote, Kraków, Warszawa i 12 więcej",,  JavaScript   React  ,Senior
Java Developer - Algo Trading,Sii Polska,"Remote, Warszawa, Gdańsk i 12 więcej",,  Java Core   Multithreading   Algorythms  ,Senior
Front End Developer,Skytek Ltd,Remote,,"  JavaScript, HTML5, DOM, CSS ",Senior
Senior Portfolio Coordinator,Power Media,"Remote, Kraków, Katowice",,  Excel  ,Senior
C# Senior Software Engineer - 100 % remote,Power Media,"Remote, Kraków",,  .NET   C#  ,Senior
Senior Web Developer,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  HTML   CSS   JavaScript  ,Senior
Engineering Manager (Salesforce/Veeva),GSK Tech Global Centre in Poznan,Poznań,,  Java  ,Senior
Senior Business Analyst (PowerBI),Luxoft Poland,Remote,, ,Senior
Senior C++ Engineer,Luxoft Poland,Remote,,  C++  ,Senior
Senior Frontend Developer,7N,Remote,18 400 - 23 100 PLN,  Angular 11 ,Senior
Senior Technical Project Manager,Luxoft Poland,Remote,,  Agile  ,Senior
Senior Front End Engineer,Luxoft Poland,Remote,,  CSS3   Git   HTML5  ,Senior
Senior Java Developer,7N,Remote,18 400 - 23 100 PLN,  | Pharma |  | Java 11 | ,Senior
Senior Java Full-stack Developer,Luxoft Poland,Remote,,  J2EE   JPA   Java  ,Senior
QA Test Lead / Analyst,Luxoft Poland,Remote,,  JIRA  ,Senior
Lead ETL Developer - Data Warehouse for Regulatory Reporting,Luxoft Poland,Kraków,,  Agile   Bamboo   Bash  ,Senior
Senior C++ Developer,Luxoft Poland,Wrocław,,  Agile   C++   Git  ,Senior
Senior Data Engineer,Luxoft Poland,Kraków,,  Azure   Agile   Azure  ,Senior
Senior Scrum Master,Luxoft Poland,Remote,,  Agile   CI   JIRA  ,Senior
Solutions Architect,Polcode Sp. z o.o.,"Remote, Warszawa, Kraków, Białystok",14 000 - 18 000 PLN,  AWS  ,Senior
Team Lead / Scrum Master with technical background,Luxoft Poland,"Remote, Wrocław",,  J2EE   JEE   Java  ,Senior
Senior Front-end developer,Luxoft Poland,Kraków,,  JavaScript   React   Redux  ,Senior
